Alloy_ID,PH_Al,PH_Sum(Al_2/Si),PH_AlSc2Si2,PH_Mg2Si,EL_Si,EL_Mg
321,0.75622,0.16876,0.00301,0.00453,4,0.6
322,0.72026,0.20133,0.00362,0.00455,4.5,0.6
323,0.68395,0.23268,0.00421,0.00467,5,0.6
324,0.64698,0.26564,0.00483,0.00478,5.5,0.6
325,0.60954,0.30497,0.00558,0.00475,6,0.6
326,0.57149,0.3378,0.0062,0.00488,6.5,0.6
327,0.53346,0.37502,0.00691,0.00492,7,0.6
328,0.49433,0.41476,0.00767,0.00499,7.5,0.6
329,0.45534,0.45703,0.00849,0.005,8,0.6
330,0.4153,0.48197,0.00897,0.00502,8.5,0.6
331,0.37466,0.52168,0.00973,0.00507,9,0.6
332,0.33435,0.5621,0.01052,0.00505,9.5,0.6
333,0.29363,0.60114,0.01127,0.00512,10,0.6
334,0.25308,0.65337,0.01228,0.00522,10.5,0.6
335,0.21065,0.69262,0.01305,0.00516,11,0.6
336,0.16876,0.73049,0.01378,0.00522,11.5,0.6
337,0.12648,0.76759,0.0145,0.00525,12,0.6
338,0.08276,0.80688,0.01527,0.00512,12.5,0.6
339,0.04037,0.85627,0.01623,0.00527,13,0.6
341,0.7566,0.15739,0.00278,0.00499,4,0.65
342,0.7206,0.19004,0.00339,0.00504,4.5,0.65
343,0.68431,0.22309,0.004,0.00519,5,0.65
344,0.64793,0.2621,0.00474,0.00527,5.5,0.65
345,0.60999,0.29534,0.00537,0.00526,6,0.65
346,0.5725,0.3353,0.00612,0.00539,6.5,0.65
347,0.53396,0.36288,0.00665,0.00541,7,0.65
348,0.49486,0.4045,0.00744,0.00551,7.5,0.65
349,0.45585,0.44565,0.00823,0.00553,8,0.65
350,0.41644,0.48529,0.00899,0.00561,8.5,0.65
351,0.37659,0.52473,0.00975,0.00566,9,0.65
352,0.33555,0.56617,0.01055,0.00564,9.5,0.65
353,0.29484,0.60399,0.01128,0.00571,10,0.65
354,0.25376,0.64249,0.01202,0.00575,10.5,0.65
355,0.21136,0.6828,0.01281,0.00569,11,0.65
356,0.1695,0.719,0.01351,0.00575,11.5,0.65
357,0.12724,0.75708,0.01425,0.00579,12,0.65
358,0.08417,0.81178,0.01532,0.0057,12.5,0.65
359,0.0412,0.84662,0.01599,0.00582,13,0.65
361,0.75694,0.14673,0.00257,0.00549,4,0.7
362,0.7215,0.18857,0.00335,0.00557,4.5,0.7
363,0.68524,0.21929,0.00391,0.00567,5,0.7
