,PH_Al,PH_Eut,PH_AlSc2Si2,EL_Sc
316,0.5270487,0.4671004,0.0047243983,0.316
317,0.5271055,0.4670062,0.0047382936,0.317
318,0.5271624,0.4669119,0.004752189,0.318
319,0.5272192,0.46681768,0.0047660843,0.319
320,0.52727604,0.46672338,0.0047799647,0.32
321,0.52733284,0.46662915,0.00479386,0.321
322,0.5273897,0.46653485,0.0048077703,0.322
323,0.5274465,0.46644062,0.0048216507,0.323
324,0.5275034,0.46634632,0.004835546,0.324
325,0.5275602,0.4662521,0.004849434,0.325
326,0.527617,0.4661578,0.004863322,0.326
327,0.52767384,0.46606356,0.0048772246,0.327
328,0.5277307,0.4659693,0.00489112,0.328
329,0.52778745,0.46587503,0.004905015,0.329
330,0.5278443,0.46578076,0.0049188957,0.33
331,0.5279011,0.4656865,0.0049327835,0.331
332,0.527958,0.46559227,0.004946679,0.332
333,0.52801484,0.46549797,0.0049605817,0.333
334,0.52807164,0.46540374,0.0049744695,0.334
335,0.5281285,0.46530944,0.0049883574,0.335
336,0.5281853,0.4652152,0.0050022453,0.336
337,0.5282421,0.4651209,0.005016133,0.337
338,0.528299,0.46502668,0.005030036,0.338
339,0.5283558,0.46493238,0.0050439164,0.339
340,0.52841264,0.46483815,0.0050578266,0.34
341,0.52846944,0.46474388,0.0050717145,0.341
342,0.52852625,0.46464962,0.005085595,0.342
343,0.5285831,0.46455535,0.0050994903,0.343
344,0.5286399,0.4644611,0.005113393,0.344
345,0.5286968,0.46436685,0.005127266,0.345
346,0.52875364,0.46427256,0.005141169,0.346
347,0.5288104,0.46417832,0.005155064,0.347
348,0.52886724,0.46408403,0.005168952,0.348
349,0.5289241,0.4639898,0.0051828474,0.349
350,0.5289809,0.4638955,0.0051967353,0.35
351,0.5290377,0.46380126,0.005210623,0.351
352,0.5290946,0.46370697,0.005224526,0.352
353,0.5291514,0.46361274,0.0052384213,0.353
354,0.52920824,0.46351844,0.0052523017,0.354
355,0.52926505,0.4634242,0.005266197,0.355
356,0.5293219,0.46332994,0.0052800924,0.356
357,0.5293787,0.46323568,0.0052939877,0.357
358,0.5294355,0.46314144,0.005307868,0.358
359,0.5294924,0.46304715,0.005321771,0.359
360,0.5295492,0.4629529,0.005335659,0.36
361,0.52960604,0.46285862,0.0053495467,0.361
362,0.52966285,0.46276438,0.0053634495,0.362
363,0.5297197,0.4626701,0.0053773373,0.363
364,0.5297765,0.46257585,0.005391225,0.364
365,0.5298334,0.46248156,0.005405128,0.365
366,0.5298902,0.46238732,0.005419016,0.366
367,0.529947,0.46229303,0.0054329038,0.367
368,0.53000385,0.4621988,0.005446799,0.368
369,0.53006065,0.4621045,0.005460687,0.369
370,0.5301175,0.46201026,0.0054745823,0.37
371,0.5301743,0.461916,0.00548847,0.371
372,0.5302312,0.46182173,0.005502373,0.372
373,0.530288,0.46172747,0.0055162534,0.373
374,0.5303448,0.4616332,0.0055301487,0.374
375,0.53040165,0.46153897,0.005544044,0.375
376,0.53045845,0.46144468,0.005557932,0.376
377,0.5305153,0.46135044,0.0055718273,0.377
378,0.5305722,0.46125615,0.005585715,0.378
379,0.530629,0.4611619,0.0055996105,0.379
380,0.5306858,0.46106762,0.0056134984,0.38
381,0.53074265,0.46097335,0.0056273937,0.381
382,0.53079945,0.46087912,0.0056412816,0.382
383,0.53085625,0.46078485,0.0056551695,0.383
384,0.5309131,0.46069056,0.0056690723,0.384
385,0.53097,0.46059632,0.0056829676,0.385
386,0.5310268,0.46050206,0.005696863,0.386
387,0.5310836,0.4604078,0.005710751,0.387
388,0.53114045,0.46031353,0.005724646,0.388
389,0.53119725,0.46021926,0.0057385266,0.389
390,0.53125405,0.46012503,0.005752422,0.39
391,0.5313109,0.46003073,0.0057663172,0.391
392,0.5313677,0.4599365,0.005780205,0.392
393,0.5314246,0.4598422,0.005794108,0.393
394,0.5314814,0.45974794,0.005807996,0.394
395,0.53153825,0.45965368,0.0058218837,0.395
396,0.53159505,0.45955944,0.0058357716,0.396
397,0.53165185,0.45946515,0.0058496743,0.397
398,0.5317087,0.45937088,0.005863562,0.398
399,0.5317656,0.45927665,0.00587745,0.399
400,0.5318224,0.45918238,0.0058913454,0.4
401,0.5318792,0.45908812,0.0059052333,0.401
402,0.53193605,0.45899385,0.0059191287,0.402
403,0.53199285,0.4588996,0.0059330165,0.403
404,0.53204966,0.45880532,0.005946912,0.404
405,0.5321065,0.45871103,0.005960807,0.405
406,0.5321634,0.4586168,0.0059747025,0.406
407,0.5322202,0.45852256,0.005988583,0.407
408,0.53227705,0.45842826,0.0060024858,0.408
409,0.53233385,0.45833403,0.0060163736,0.409
410,0.53239065,0.45823973,0.0060302764,0.41
411,0.5324475,0.4581455,0.0060441643,0.411
412,0.5325043,0.4580512,0.006058052,0.412
413,0.5325612,0.45795697,0.006071955,0.413
414,0.532618,0.4578627,0.006085828,0.414
415,0.5326748,0.45776844,0.0060997307,0.415
416,0.53273165,0.4576742,0.006113626,0.416
417,0.5327885,0.4575799,0.0061275065,0.417
418,0.5328453,0.45748568,0.0061414093,0.418
419,0.5329021,0.45739138,0.006155297,0.419
420,0.532959,0.45729715,0.006169185,0.42
421,0.5330158,0.45720285,0.0061830804,0.421
422,0.5330726,0.45710862,0.0061969683,0.422
423,0.53312945,0.45701432,0.0062108636,0.423
424,0.5331863,0.4569201,0.0062247664,0.424
425,0.5332431,0.4568258,0.0062386543,0.425
426,0.5332999,0.45673156,0.006252542,0.426
427,0.5333568,0.45663726,0.00626643,0.427
428,0.5334136,0.45654303,0.006280318,0.428
429,0.5334704,0.4564488,0.0062942207,0.429
430,0.53352726,0.4563545,0.006308116,0.43
431,0.5335841,0.45626023,0.006322004,0.431
432,0.5336409,0.45616597,0.006335892,0.432
433,0.5336977,0.4560717,0.0063497797,0.433
434,0.5337546,0.45597744,0.006363675,0.434
435,0.5338114,0.45588318,0.006377578,0.435
436,0.53386825,0.4557889,0.0063914657,0.436
437,0.53392506,0.45569468,0.0064053535,0.437
438,0.5339819,0.45560038,0.006419249,0.438
439,0.5340387,0.45550612,0.0064331293,0.439
440,0.5340955,0.45541188,0.006447032,0.44
441,0.5341524,0.45531762,0.0064609274,0.441
442,0.53420925,0.45522332,0.0064748153,0.442
443,0.53426605,0.4551291,0.0064887106,0.443
444,0.53432286,0.4550348,0.0065025985,0.444
445,0.5343797,0.45494056,0.0065164864,0.445
446,0.5344365,0.4548463,0.006530389,0.446
447,0.5344933,0.45475203,0.006544277,0.447
448,0.5345502,0.45465776,0.006558165,0.448
449,0.53460705,0.4545635,0.0065720677,0.449
450,0.53466386,0.45446923,0.0065859556,0.45
451,0.53472066,0.45437497,0.0065998435,0.451
452,0.5347775,0.4542807,0.006613739,0.452
453,0.5348343,0.45418644,0.0066276267,0.453
454,0.5348912,0.4540922,0.0066415146,0.454
455,0.534948,0.4539979,0.0066554174,0.455
456,0.5350048,0.45390368,0.0066693127,0.456
457,0.53506166,0.4538094,0.0066832006,0.457
458,0.53511846,0.45371515,0.0066970885,0.458
459,0.5351753,0.45362088,0.006710984,0.459
460,0.5352321,0.45352662,0.0067248717,0.46
461,0.53528893,0.45343235,0.006738767,0.461
462,0.5353458,0.4533381,0.0067526624,0.462
463,0.53540266,0.45324382,0.0067665577,0.463
464,0.53545946,0.45314956,0.0067804456,0.464
465,0.53551626,0.45305532,0.0067943335,0.465
466,0.5355731,0.45296103,0.006808229,0.466
