Alloy_ID,PH_Al,PH_Si,PH_AlSc2Si2,PH_Mg2Si,EL_Si,EL_Mg
233,0.87397,0.0729,0.01247,0.04066,10,0.35
234,0.86847,0.07739,0.01321,0.04093,10.5,0.35
235,0.86375,0.082,0.01406,0.04019,11,0.35
236,0.85732,0.08643,0.01497,0.04128,11.5,0.35
237,0.85194,0.09097,0.01567,0.04142,12,0.35
238,0.84752,0.09594,0.01644,0.0401,12.5,0.35
239,0.84074,0.10033,0.0174,0.04153,13,0.35
240,0.8352,0.1052,0.01796,0.04164,13.5,0.35
241,0.93185,0.02225,0.00357,0.04233,4,0.4
242,0.92775,0.02626,0.00417,0.04182,4.5,0.4
243,0.92146,0.02996,0.00493,0.04365,5,0.4
244,0.91588,0.03392,0.00556,0.04464,5.5,0.4
245,0.91179,0.03809,0.00633,0.04379,6,0.4
246,0.90558,0.04208,0.00693,0.04541,6.5,0.4
247,0.90036,0.04615,0.00764,0.04585,7,0.4
248,0.89631,0.05057,0.00853,0.04459,7.5,0.4
249,0.88963,0.05463,0.0092,0.04654,8,0.4
250,0.88395,0.05887,0.00996,0.04722,8.5,0.4
251,0.87829,0.06325,0.01073,0.04773,9,0.4
252,0.87394,0.06773,0.01151,0.04682,9.5,0.4
253,0.86776,0.07204,0.01223,0.04797,10,0.4
254,0.8619,0.07644,0.01305,0.04861,10.5,0.4
255,0.85778,0.08118,0.01377,0.04727,11,0.4
256,0.85094,0.08557,0.01473,0.04876,11.5,0.4
257,0.84551,0.09012,0.01543,0.04894,12,0.4
258,0.84093,0.09507,0.0162,0.0478,12.5,0.4
259,0.83425,0.09948,0.01717,0.0491,13,0.4
260,0.82878,0.10433,0.01771,0.04918,13.5,0.4
261,0.92636,0.02154,0.00334,0.04876,4,0.45
262,0.92115,0.02536,0.00413,0.04936,4.5,0.45
263,0.91587,0.02922,0.00469,0.05022,5,0.45
264,0.90968,0.03305,0.0055,0.05177,5.5,0.45
265,0.90607,0.0373,0.00609,0.05054,6,0.45
266,0.89931,0.04122,0.00687,0.0526,6.5,0.45
267,0.89444,0.04535,0.00738,0.05283,7,0.45
268,0.88974,0.04972,0.00828,0.05226,7.5,0.45
269,0.88345,0.05383,0.00896,0.05376,8,0.45
270,0.87776,0.05799,0.00971,0.05454,8.5,0.45
271,0.872,0.06228,0.01049,0.05523,9,0.45
272,0.8669,0.06677,0.01128,0.05505,9.5,0.45
273,0.86118,0.07114,0.01202,0.05566,10,0.45
274,0.85573,0.07557,0.01274,0.05596,10.5,0.45
275,0.85098,0.08024,0.01347,0.05531,11,0.45
276,0.84438,0.08468,0.01449,0.05645,11.5,0.45
277,0.83861,0.08921,0.01526,0.05692,12,0.45
278,0.83463,0.0941,0.01595,0.05532,12.5,0.45
279,0.82757,0.09861,0.01694,0.05688,13,0.45
280,0.82202,0.10349,0.01749,0.057,13.5,0.45
281,0.91995,0.02067,0.0033,0.05608,4,0.5
282,0.91555,0.0246,0.00389,0.05596,4.5,0.5
283,0.90944,0.02838,0.00451,0.05767,5,0.5
284,0.90382,0.03227,0.00525,0.05866,5.5,0.5
285,0.89978,0.0365,0.0059,0.05782,6,0.5
286,0.89332,0.0404,0.00661,0.05967,6.5,0.5
287,0.88718,0.0444,0.0074,0.06102,7,0.5
288,0.8836,0.0489,0.00804,0.05946,7.5,0.5
289,0.87724,0.05293,0.0087,0.06113,8,0.5
290,0.87094,0.05712,0.00952,0.06242,8.5,0.5
