Alloy_ID,PH_Al,PH_Al(2),PH_Si,PH_AlSc2Si2,PH_Mg2Si,EL_Si,EL_Mg
328,0.49433,0.36855,0.04621,0.00767,0.00499,7.5,0.6
329,0.45534,0.40612,0.05091,0.00849,0.005,8,0.6
330,0.4153,0.42828,0.05369,0.00897,0.00502,8.5,0.6
331,0.37466,0.46358,0.0581,0.00973,0.00507,9,0.6
332,0.33435,0.49951,0.06259,0.01052,0.00505,9.5,0.6
333,0.29363,0.53421,0.06693,0.01127,0.00512,10,0.6
341,0.7566,0.13984,0.01755,0.00278,0.00499,4,0.65
342,0.7206,0.16885,0.02119,0.00339,0.00504,4.5,0.65
343,0.68431,0.19821,0.02488,0.004,0.00519,5,0.65
344,0.64793,0.23287,0.02923,0.00474,0.00527,5.5,0.65
345,0.60999,0.26241,0.03293,0.00537,0.00526,6,0.65
346,0.5725,0.29792,0.03738,0.00612,0.00539,6.5,0.65
347,0.53396,0.32243,0.04045,0.00665,0.00541,7,0.65
348,0.49486,0.35942,0.04508,0.00744,0.00551,7.5,0.65
349,0.45585,0.39599,0.04966,0.00823,0.00553,8,0.65
350,0.41644,0.43122,0.05407,0.00899,0.00561,8.5,0.65
351,0.37659,0.46628,0.05845,0.00975,0.00566,9,0.65
352,0.33555,0.50311,0.06306,0.01055,0.00564,9.5,0.65
353,0.29484,0.53673,0.06726,0.01128,0.00571,10,0.65
361,0.75694,0.13037,0.01636,0.00257,0.00549,4,0.7
362,0.7215,0.16754,0.02103,0.00335,0.00557,4.5,0.7
363,0.68524,0.19483,0.02446,0.00391,0.00567,5,0.7
364,0.64837,0.22234,0.02791,0.00449,0.00575,5.5,0.7
365,0.61046,0.25008,0.03139,0.00508,0.00589,6,0.7
366,0.57298,0.28614,0.03591,0.00585,0.00586,6.5,0.7
367,0.53501,0.32338,0.04058,0.00664,0.00599,7,0.7
368,0.49535,0.35189,0.04414,0.00726,0.00587,7.5,0.7
369,0.45641,0.38698,0.04854,0.00801,0.00607,8,0.7
370,0.41702,0.42184,0.05291,0.00875,0.00614,8.5,0.7
371,0.3772,0.45633,0.05722,0.0095,0.0062,9,0.7
372,0.33619,0.49288,0.06179,0.01029,0.00617,9.5,0.7
373,0.2955,0.52658,0.06601,0.01102,0.00625,10,0.7
