,PH_Al,PH_Al2,PH_Si,PH_AlSi2Sr,EL_Sr
186,0.4555201,0.054868728,0.047353335,0.0013249665,0.093
187,0.45408124,0.056256533,0.047352113,0.0013327152,0.0935
188,0.4526425,0.057644397,0.047350876,0.0013405234,0.094
189,0.45120376,0.05903229,0.04734967,0.0013483316,0.0945
190,0.4497649,0.060420066,0.047348432,0.0013560802,0.095
191,0.44832617,0.06180793,0.04734721,0.0013639182,0.0955
192,0.4468873,0.063195735,0.047345974,0.0013716817,0.096
193,0.44544852,0.06458363,0.04734475,0.0013794452,0.0965
194,0.44400972,0.06597152,0.04734353,0.0013872832,0.097
195,0.44257098,0.06735942,0.047342293,0.0013950318,0.0975
196,0.44113213,0.06874722,0.047341056,0.0014028698,0.098
197,0.4396934,0.07013503,0.04733985,0.0014106184,0.0985
198,0.4382546,0.07152283,0.047338627,0.0014184117,0.099
199,0.4368158,0.072910696,0.04733739,0.001426205,0.0995
200,0.435377,0.07429859,0.04733617,0.0014339983,0.1
201,0.4339382,0.075686365,0.047334947,0.0014417917,0.1005
202,0.43249935,0.07707429,0.04733371,0.0014495999,0.101
203,0.4310606,0.078462124,0.047332503,0.0014573783,0.1015
204,0.42962182,0.07984993,0.047331266,0.0014651269,0.102
205,0.42818302,0.08123779,0.04733003,0.0014729649,0.1025
206,0.42674428,0.08262569,0.047328807,0.0014807433,0.103
207,0.42530543,0.08401349,0.047327586,0.0014885515,0.1035
208,0.4238667,0.085401386,0.04732635,0.0014963299,0.104
209,0.42242783,0.08678922,0.04732514,0.0015040934,0.1045
210,0.4209891,0.088176996,0.047323905,0.0015119165,0.105
211,0.4195503,0.08956483,0.047322683,0.00151968,0.1055
212,0.4181115,0.090952694,0.047321446,0.0015274733,0.106
213,0.4166727,0.09234059,0.04732024,0.0015353113,0.1065
214,0.4152339,0.09372845,0.047319002,0.0015430301,0.107
215,0.4137951,0.09511626,0.04731778,0.0015508384,0.1075
216,0.41235632,0.09650409,0.04731656,0.0015586466,0.108
217,0.41091758,0.09789193,0.047315322,0.001566425,0.1085
218,0.40947872,0.09927979,0.047314085,0.001574263,0.109
219,0.40804,0.100667566,0.047312878,0.0015820116,0.1095
220,0.40660113,0.10205549,0.04731164,0.00158979,0.11
221,0.40516233,0.103443325,0.04731042,0.0015975684,0.1105
222,0.40372354,0.10483119,0.047309183,0.0016053915,0.111
223,0.4022848,0.10621908,0.04730796,0.0016131401,0.1115
224,0.40084594,0.1076068,0.047306754,0.0016209632,0.112
225,0.3994072,0.10899466,0.047305517,0.0016287416,0.1125
226,0.39796835,0.11038256,0.04730428,0.0016365051,0.113
227,0.39652961,0.11177042,0.04730306,0.0016443282,0.1135
228,0.39509082,0.113158196,0.04730182,0.0016521066,0.114
229,0.39365202,0.11454612,0.047300614,0.0016599447,0.1145
230,0.39221323,0.115933955,0.047299393,0.0016677082,0.115
231,0.39077443,0.11732179,0.04729817,0.0016754717,0.1155
232,0.3893357,0.118709594,0.04729692,0.0016832948,0.116
233,0.38789684,0.12009743,0.047295697,0.0016910434,0.1165
234,0.3864581,0.12148535,0.047294475,0.0016988665,0.117
235,0.38501924,0.12287325,0.047293253,0.0017066449,0.1175
236,0.38358045,0.12426105,0.04729203,0.0017144233,0.118
237,0.3821417,0.12564883,0.04729081,0.0017222166,0.1185
238,0.3807029,0.12703672,0.047289588,0.0017300099,0.119
239,0.37926412,0.12842453,0.04728835,0.0017378181,0.1195
240,0.37782526,0.12981242,0.047287114,0.0017456114,0.12
241,0.37638652,0.13120028,0.047285892,0.0017533749,0.1205
242,0.37494773,0.13258806,0.04728467,0.0017611831,0.121
243,0.37350893,0.1339759,0.04728345,0.0017689615,0.1215
244,0.37207013,0.13536376,0.04728221,0.0017767698,0.122
245,0.37063134,0.13675165,0.047280975,0.0017845184,0.1225
246,0.36919254,0.13813946,0.047279783,0.0017923266,0.123
247,0.36775374,0.13952729,0.04727856,0.001800105,0.1235
248,0.36639613,0.14082319,0.04727719,0.0018080026,0.124
249,0.36601132,0.14101642,0.047274448,0.001817137,0.1245
250,0.36562645,0.14120978,0.047271676,0.001826182,0.125
